Feature,Importance
SI,0.17932730391061
EEG2_BetaAlpha,0.1332353769642224
EEG1_BetaAlpha,0.08692953558440825
EEG3_BetaAlpha,0.06550327938558993
EEG4_BetaAlpha,0.05953884172916356
EEG3_Gamma,0.033862719129682736
EEG2_Gamma,0.027995987185594852
EEG1_Alpha,0.02551329896350852
EEG2_Beta,0.024968218873668693
EEG4_Alpha,0.02108852406292504
HR,0.02012399971829907
EEG1_Beta,0.019813159914448732
EEG1_Gamma,0.018893030496411754
EEG2_Delta,0.01835526986733073
EEG4_Theta,0.018219614916851937
EEG3_Beta,0.017925769944847868
EEG2_Theta,0.017801777317713558
EEG3_Alpha,0.017698749156580422
EEG2_Alpha,0.01717879914165979
DeltaPulse,0.016899994358037913
DeltaSYS,0.016422169960981493
EEG3_Theta,0.01502384356254034
EEG1_Theta,0.014895115989927094
SDNN,0.014042104542275832
EEG3_Delta,0.013933385292852393
pNN50,0.013047055550391583
RMSSD,0.012893808720086322
EEG4_Gamma,0.012889470292016113
EEG4_Delta,0.012434530916576501
EEG1_Delta,0.012374698575966427
EEG4_Beta,0.011429643182956637
DeltaDIA,0.009740922791873536
